time_iso8601,stars_cumulative
2021-10-01 00:00:00+00:00,157
2021-10-09 00:00:00+00:00,158
2021-10-10 00:00:00+00:00,159
2021-10-12 00:00:00+00:00,160
2021-10-17 00:00:00+00:00,161
2021-10-18 00:00:00+00:00,162
2021-10-20 00:00:00+00:00,163
2021-11-04 00:00:00+00:00,164
2021-12-03 00:00:00+00:00,165
2021-12-21 00:00:00+00:00,166
2021-12-22 00:00:00+00:00,167
2021-12-24 00:00:00+00:00,168
2021-12-25 00:00:00+00:00,169
2022-01-16 00:00:00+00:00,170
2022-01-18 00:00:00+00:00,171
2022-02-08 00:00:00+00:00,172
2022-02-23 00:00:00+00:00,173
2022-02-27 00:00:00+00:00,174
2022-03-07 00:00:00+00:00,175
2022-03-15 00:00:00+00:00,176
2022-03-18 00:00:00+00:00,177
2022-03-22 00:00:00+00:00,178
2022-03-23 00:00:00+00:00,179
2022-03-24 00:00:00+00:00,181
2022-03-27 00:00:00+00:00,182
2022-03-31 00:00:00+00:00,183
2022-04-13 00:00:00+00:00,184
2022-04-22 00:00:00+00:00,185
2022-04-30 00:00:00+00:00,186
2022-05-16 00:00:00+00:00,187
2022-05-18 00:00:00+00:00,188
2022-05-31 00:00:00+00:00,190
2022-06-10 00:00:00+00:00,191
2022-06-11 00:00:00+00:00,192
2022-06-16 00:00:00+00:00,193
2022-06-17 00:00:00+00:00,194
2022-06-23 00:00:00+00:00,195
2022-08-04 00:00:00+00:00,196
2022-08-05 00:00:00+00:00,197
2022-08-24 00:00:00+00:00,198
2022-08-31 00:00:00+00:00,199
2022-09-07 00:00:00+00:00,200
2022-09-14 00:00:00+00:00,201
2022-09-16 00:00:00+00:00,202
2022-10-28 00:00:00+00:00,203
2022-11-12 00:00:00+00:00,204
2022-11-14 00:00:00+00:00,205
2022-11-20 00:00:00+00:00,206
2022-11-23 00:00:00+00:00,207
2022-12-11 00:00:00+00:00,208
2022-12-19 00:00:00+00:00,209
2023-01-14 00:00:00+00:00,210
2023-02-13 00:00:00+00:00,212
2023-02-17 00:00:00+00:00,214
2023-02-21 00:00:00+00:00,215
2023-03-06 00:00:00+00:00,216
2023-03-08 00:00:00+00:00,217
2023-04-03 00:00:00+00:00,218
2023-04-04 00:00:00+00:00,219
2023-04-06 00:00:00+00:00,220
2023-04-17 00:00:00+00:00,221
2023-04-18 00:00:00+00:00,223
2023-05-05 00:00:00+00:00,224
2023-05-06 00:00:00+00:00,225
2023-06-08 00:00:00+00:00,226
2023-06-19 00:00:00+00:00,227
2023-06-20 00:00:00+00:00,228
2023-07-11 00:00:00+00:00,230
2023-07-14 00:00:00+00:00,231
2023-07-23 00:00:00+00:00,232
2023-07-26 00:00:00+00:00,234
2023-07-28 00:00:00+00:00,235
2023-08-12 00:00:00+00:00,236
2023-08-18 00:00:00+00:00,237
2023-08-23 00:00:00+00:00,238
2023-09-05 00:00:00+00:00,239
2023-09-10 00:00:00+00:00,240
2023-09-11 00:00:00+00:00,241
2023-09-15 00:00:00+00:00,242
2023-09-16 00:00:00+00:00,243
2023-09-22 00:00:00+00:00,244
2023-09-27 00:00:00+00:00,245
2023-10-11 00:00:00+00:00,246
2023-10-17 00:00:00+00:00,247
2023-10-21 00:00:00+00:00,248
2023-10-22 00:00:00+00:00,249
2023-10-23 00:00:00+00:00,252
2023-10-27 00:00:00+00:00,253
2023-11-07 00:00:00+00:00,254
2023-11-13 00:00:00+00:00,256
2023-11-14 00:00:00+00:00,257
2023-11-15 00:00:00+00:00,258
2023-11-16 00:00:00+00:00,259
2023-11-23 00:00:00+00:00,260
2023-11-27 00:00:00+00:00,261
2023-12-06 00:00:00+00:00,262
2023-12-13 00:00:00+00:00,263
2023-12-18 00:00:00+00:00,264
2023-12-19 00:00:00+00:00,266
2023-12-30 00:00:00+00:00,267
2024-01-01 00:00:00+00:00,268
2024-01-02 00:00:00+00:00,269
2024-01-22 00:00:00+00:00,270
2024-02-02 00:00:00+00:00,271
2024-02-23 00:00:00+00:00,272
2024-02-25 00:00:00+00:00,273
2024-03-04 00:00:00+00:00,274
2024-03-06 00:00:00+00:00,275
2024-03-15 00:00:00+00:00,276
2024-03-24 00:00:00+00:00,278
2024-03-28 00:00:00+00:00,279
2024-04-01 00:00:00+00:00,280
2024-04-03 00:00:00+00:00,282
2024-04-04 00:00:00+00:00,283
