referrer,views_total,views_unique
Google,62,29
github.com,16,9
psc.edu,14,8
DuckDuckGo,7,5
teams.public.onecdn.static.microsoft,4,2
news.ycombinator.com,2,2
Bing,1,1
cve.org,1,1
