time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,66,46,16,7
2026-04-20 00:00:00+00:00,98,44,43,12
2026-04-21 00:00:00+00:00,277,53,17,11
2026-04-22 00:00:00+00:00,123,53,27,9
2026-04-23 00:00:00+00:00,160,57,25,17
2026-04-24 00:00:00+00:00,259,68,20,9
2026-04-25 00:00:00+00:00,129,66,8,8
2026-04-26 00:00:00+00:00,53,29,22,8
2026-04-27 00:00:00+00:00,225,39,51,8
2026-04-28 00:00:00+00:00,68,37,8,6
2026-04-29 00:00:00+00:00,83,30,14,7
2026-04-30 00:00:00+00:00,230,42,10,8
2026-05-01 00:00:00+00:00,781,79,25,12
2026-05-02 00:00:00+00:00,83,43,9,7
