referrer,views_total,views_unique
Google,80,26
psc.edu,61,35
github.com,51,10
meatwiki.nii.ac.jp,42,4
cn.bing.com,3,1
DuckDuckGo,2,1
presearch.com,1,1
nvd.nist.gov,1,1
cve.mitre.org,1,1
forum.armbian.com,1,1
