referrer,views_total,views_unique
psc.edu,174,38
Google,118,31
meatwiki.nii.ac.jp,17,4
github.com,12,6
DuckDuckGo,2,1
cn.bing.com,1,1
cve.org,1,1
nvd.nist.gov,1,1
search.brave.com,1,1
