time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,130,110,6,5
2026-03-30 00:00:00+00:00,53,37,7,7
2026-03-31 00:00:00+00:00,72,26,32,15
2026-04-01 00:00:00+00:00,34,27,15,9
2026-04-02 00:00:00+00:00,364,50,32,13
2026-04-03 00:00:00+00:00,112,28,11,7
2026-04-04 00:00:00+00:00,39,29,5,4
2026-04-05 00:00:00+00:00,29,24,24,10
2026-04-06 00:00:00+00:00,97,37,22,6
2026-04-07 00:00:00+00:00,97,62,27,11
2026-04-08 00:00:00+00:00,404,58,28,10
2026-04-09 00:00:00+00:00,62,34,30,14
2026-04-10 00:00:00+00:00,61,46,31,16
2026-04-11 00:00:00+00:00,46,33,7,3
