referrer,views_total,views_unique
Google,52,23
psc.edu,24,16
github.com,19,7
DuckDuckGo,14,2
Bing,2,2
lwn.net,2,2
news.ycombinator.com,2,2
statics.teams.cdn.office.net,2,1
nvd.nist.gov,1,1
openwebui.mircybernetics.lan,1,1
