referrer,views_total,views_unique
psc.edu,181,41
Google,120,30
meatwiki.nii.ac.jp,16,3
github.com,14,6
DuckDuckGo,6,3
cn.bing.com,1,1
cve.org,1,1
nvd.nist.gov,1,1
search.brave.com,1,1
