time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-28 00:00:00+00:00,3.0,2.0,28,15
2024-06-29 00:00:00+00:00,5.0,2.0,6,3
2024-06-30 00:00:00+00:00,,,11,5
2024-07-01 00:00:00+00:00,222.0,8.0,120,67
2024-07-02 00:00:00+00:00,350.0,2.0,402,268
2024-07-03 00:00:00+00:00,155.0,4.0,167,105
2024-07-04 00:00:00+00:00,6.0,5.0,78,50
2024-07-05 00:00:00+00:00,2.0,2.0,44,38
2024-07-06 00:00:00+00:00,1.0,1.0,38,21
2024-07-07 00:00:00+00:00,1.0,1.0,61,23
2024-07-08 00:00:00+00:00,2.0,1.0,125,48
2024-07-09 00:00:00+00:00,1.0,1.0,64,44
2024-07-10 00:00:00+00:00,,,84,54
2024-07-11 00:00:00+00:00,1.0,1.0,64,37
