time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-08 00:00:00+00:00,3.0,1.0,1,1
2024-12-09 00:00:00+00:00,1.0,1.0,13,9
2024-12-10 00:00:00+00:00,,,30,16
2024-12-11 00:00:00+00:00,4.0,3.0,25,11
2024-12-12 00:00:00+00:00,1.0,1.0,27,15
2024-12-13 00:00:00+00:00,,,37,13
2024-12-14 00:00:00+00:00,8.0,3.0,12,8
2024-12-15 00:00:00+00:00,3.0,1.0,37,1
2024-12-16 00:00:00+00:00,,,16,11
2024-12-17 00:00:00+00:00,,,18,13
2024-12-18 00:00:00+00:00,3.0,3.0,36,17
2024-12-19 00:00:00+00:00,,,9,7
2024-12-20 00:00:00+00:00,1.0,1.0,21,7
2024-12-21 00:00:00+00:00,1.0,1.0,26,10
