referrer,views_total,views_unique
psc.edu,160,42
Google,143,31
github.com,27,9
statics.teams.cdn.office.net,16,4
meatwiki.nii.ac.jp,14,2
StartPage,4,1
Bing,1,1
DuckDuckGo,1,1
search.brave.com,1,1
