time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,67,26,10,7
2026-08-30 00:00:00+00:00,67,28,10,9
2026-08-31 00:00:00+00:00,198,127,34,25
2026-09-01 00:00:00+00:00,81,31,12,10
2026-09-02 00:00:00+00:00,237,27,37,9
2026-09-03 00:00:00+00:00,327,27,6,6
2026-09-04 00:00:00+00:00,83,21,8,8
2026-09-05 00:00:00+00:00,75,27,12,11
2026-09-06 00:00:00+00:00,67,23,7,4
2026-09-07 00:00:00+00:00,78,29,34,19
2026-09-08 00:00:00+00:00,357,35,35,18
2026-09-09 00:00:00+00:00,520,36,31,21
2026-09-10 00:00:00+00:00,75,32,28,10
2026-09-11 00:00:00+00:00,250,27,10,6
