time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-08 00:00:00+00:00,17,11,37,13
2025-08-09 00:00:00+00:00,14,8,13,4
2025-08-10 00:00:00+00:00,15,9,13,5
2025-08-11 00:00:00+00:00,17,11,9,4
2025-08-12 00:00:00+00:00,284,24,11,9
2025-08-13 00:00:00+00:00,396,28,24,17
2025-08-14 00:00:00+00:00,63,9,6,5
2025-08-15 00:00:00+00:00,24,15,13,7
2025-08-16 00:00:00+00:00,16,10,1,1
2025-08-17 00:00:00+00:00,16,10,12,5
2025-08-18 00:00:00+00:00,109,17,7,6
2025-08-19 00:00:00+00:00,17,11,30,6
2025-08-20 00:00:00+00:00,16,10,31,5
2025-08-21 00:00:00+00:00,7,6,16,10
