referrer,views_total,views_unique
Google,89,36
psc.edu,45,31
github.com,16,9
DuckDuckGo,4,4
search.brave.com,4,3
news.ycombinator.com,3,3
ecosia.org,3,1
solaris4you.dk,3,1
jira.imprivata.com,1,1
