referrer,views_total,views_unique
Google,36,23
github.com,7,6
psc.edu,4,3
Bing,2,2
nvd.nist.gov,2,2
forum.proxmox.com,2,1
forums.somethingawful.com,2,1
Baidu,1,1
DuckDuckGo,1,1
codeops.digiscrypt.com,1,1
