time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-20 00:00:00+00:00,21,14,40,16
2025-03-21 00:00:00+00:00,17,14,32,18
2025-03-22 00:00:00+00:00,13,9,9,5
2025-03-23 00:00:00+00:00,10,8,5,4
2025-03-24 00:00:00+00:00,15,11,37,18
2025-03-25 00:00:00+00:00,17,11,21,10
2025-03-26 00:00:00+00:00,7,6,31,12
2025-03-27 00:00:00+00:00,11,8,22,14
2025-03-28 00:00:00+00:00,26,9,18,11
2025-03-29 00:00:00+00:00,19,10,12,5
2025-03-30 00:00:00+00:00,13,8,7,3
2025-03-31 00:00:00+00:00,13,12,30,17
2025-04-01 00:00:00+00:00,20,15,16,12
2025-04-02 00:00:00+00:00,7,6,16,10
