referrer,views_total,views_unique
Google,56,36
psc.edu,36,7
github.com,18,8
DuckDuckGo,9,4
news.ycombinator.com,4,3
teams.public.onecdn.static.microsoft,2,2
m.sogou.com,2,1
Bing,1,1
kagi.com,1,1
solaris4you.dk,1,1
