referrer,views_total,views_unique
Google,70,35
psc.edu,64,25
cn.bing.com,31,4
github.com,9,7
news.ycombinator.com,9,6
meatwiki.nii.ac.jp,7,2
Bing,6,2
l.workplace.com,3,1
yandex.ru,2,1
