referrer,views_total,views_unique
Google,76,35
psc.edu,45,23
github.com,16,10
news.ycombinator.com,7,5
DuckDuckGo,3,3
avd.aliyun.com,3,1
solaris4you.dk,3,1
ecosia.org,3,1
jira.imprivata.com,2,2
Bing,2,1
