time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-17 00:00:00+00:00,10,10,26,12
2025-11-18 00:00:00+00:00,14,13,29,9
2025-11-19 00:00:00+00:00,11,10,18,10
2025-11-20 00:00:00+00:00,14,13,16,10
2025-11-21 00:00:00+00:00,9,9,15,10
2025-11-22 00:00:00+00:00,10,10,26,11
2025-11-23 00:00:00+00:00,9,9,9,4
2025-11-24 00:00:00+00:00,9,9,8,5
2025-11-25 00:00:00+00:00,13,13,11,8
2025-11-26 00:00:00+00:00,38,26,19,10
2025-11-27 00:00:00+00:00,8,8,17,13
2025-11-28 00:00:00+00:00,18,9,14,5
2025-11-29 00:00:00+00:00,13,13,8,6
2025-11-30 00:00:00+00:00,6,6,18,8
