time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-11 00:00:00+00:00,9,7,82,18
2023-12-12 00:00:00+00:00,5,5,50,14
2023-12-13 00:00:00+00:00,2,2,18,12
2023-12-14 00:00:00+00:00,5,4,39,17
2023-12-15 00:00:00+00:00,4,3,32,17
2023-12-16 00:00:00+00:00,5,3,38,17
2023-12-17 00:00:00+00:00,14,4,5,4
2023-12-18 00:00:00+00:00,11,6,17,9
2023-12-19 00:00:00+00:00,3,3,86,18
2023-12-20 00:00:00+00:00,8,4,21,12
2023-12-21 00:00:00+00:00,7,5,20,11
2023-12-22 00:00:00+00:00,6,4,39,11
2023-12-23 00:00:00+00:00,1,1,3,2
2023-12-24 00:00:00+00:00,5,3,10,4
