time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,70,28,21,16
2026-08-05 00:00:00+00:00,68,28,30,10
2026-08-06 00:00:00+00:00,85,27,43,20
2026-08-07 00:00:00+00:00,93,37,13,11
2026-08-08 00:00:00+00:00,84,28,8,7
2026-08-09 00:00:00+00:00,64,21,11,7
2026-08-10 00:00:00+00:00,76,25,17,12
2026-08-11 00:00:00+00:00,82,28,17,13
2026-08-12 00:00:00+00:00,78,27,22,12
2026-08-13 00:00:00+00:00,84,35,24,20
2026-08-14 00:00:00+00:00,69,26,18,13
2026-08-15 00:00:00+00:00,80,27,6,5
2026-08-16 00:00:00+00:00,81,36,7,6
2026-08-17 00:00:00+00:00,235,49,55,21
