referrer,views_total,views_unique
Google,128,54
psc.edu,53,23
aws.predictiveresponse.net,26,24
github.com,16,11
news.ycombinator.com,8,6
DuckDuckGo,6,3
hklhms.lightning.force.com,6,1
perplexity.ai,4,1
statics.teams.cdn.office.net,3,2
search.brave.com,2,2
