time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-04 00:00:00+00:00,39,22,33,22
2026-02-05 00:00:00+00:00,42,22,25,17
2026-02-06 00:00:00+00:00,13,13,39,25
2026-02-07 00:00:00+00:00,19,14,11,10
2026-02-08 00:00:00+00:00,21,15,16,9
2026-02-09 00:00:00+00:00,22,14,32,20
2026-02-10 00:00:00+00:00,157,26,18,12
2026-02-11 00:00:00+00:00,51,18,56,18
2026-02-12 00:00:00+00:00,76,17,32,20
2026-02-13 00:00:00+00:00,24,15,27,11
2026-02-14 00:00:00+00:00,21,14,6,6
2026-02-15 00:00:00+00:00,37,18,16,6
2026-02-16 00:00:00+00:00,46,35,15,6
2026-02-17 00:00:00+00:00,36,20,26,12
