time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,15,13,51,17
2025-10-16 00:00:00+00:00,26,14,32,14
2025-10-17 00:00:00+00:00,210,20,18,17
2025-10-18 00:00:00+00:00,279,18,12,9
2025-10-19 00:00:00+00:00,25,14,14,4
2025-10-20 00:00:00+00:00,30,16,31,13
2025-10-21 00:00:00+00:00,223,26,16,15
2025-10-22 00:00:00+00:00,83,62,10,7
2025-10-23 00:00:00+00:00,138,30,19,12
2025-10-24 00:00:00+00:00,32,20,17,14
2025-10-25 00:00:00+00:00,16,16,9,6
2025-10-26 00:00:00+00:00,20,14,13,10
2025-10-27 00:00:00+00:00,45,27,27,13
2025-10-28 00:00:00+00:00,18,10,84,40
