time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-06 00:00:00+00:00,2.0,2.0,44,33
2024-08-07 00:00:00+00:00,5.0,3.0,58,23
2024-08-08 00:00:00+00:00,163.0,2.0,25,12
2024-08-09 00:00:00+00:00,220.0,5.0,46,15
2024-08-10 00:00:00+00:00,1.0,1.0,33,8
2024-08-11 00:00:00+00:00,4.0,2.0,8,6
2024-08-12 00:00:00+00:00,79.0,5.0,24,11
2024-08-13 00:00:00+00:00,175.0,4.0,25,11
2024-08-14 00:00:00+00:00,1.0,1.0,33,9
2024-08-15 00:00:00+00:00,,,10,8
2024-08-16 00:00:00+00:00,4.0,3.0,22,12
2024-08-17 00:00:00+00:00,2.0,2.0,36,3
2024-08-18 00:00:00+00:00,,,5,5
2024-08-19 00:00:00+00:00,,,22,10
