time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-30 00:00:00+00:00,18,11,18,11
2025-05-31 00:00:00+00:00,24,10,8,4
2025-06-01 00:00:00+00:00,14,8,6,3
2025-06-02 00:00:00+00:00,18,9,32,7
2025-06-03 00:00:00+00:00,15,7,17,11
2025-06-04 00:00:00+00:00,21,11,19,8
2025-06-05 00:00:00+00:00,14,8,14,7
2025-06-06 00:00:00+00:00,33,13,35,12
2025-06-07 00:00:00+00:00,20,12,3,3
2025-06-08 00:00:00+00:00,14,8,2,2
2025-06-09 00:00:00+00:00,25,13,15,10
2025-06-10 00:00:00+00:00,22,10,25,11
2025-06-11 00:00:00+00:00,21,11,30,18
2025-06-12 00:00:00+00:00,8,8,20,13
