time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-12 00:00:00+00:00,293,10,20,15
2026-01-13 00:00:00+00:00,10,10,12,6
2026-01-14 00:00:00+00:00,21,11,8,7
2026-01-15 00:00:00+00:00,12,12,11,8
2026-01-16 00:00:00+00:00,13,13,8,8
2026-01-17 00:00:00+00:00,27,17,6,4
2026-01-18 00:00:00+00:00,28,16,3,3
2026-01-19 00:00:00+00:00,18,10,20,9
2026-01-20 00:00:00+00:00,22,10,28,11
2026-01-21 00:00:00+00:00,10,10,24,11
2026-01-22 00:00:00+00:00,19,11,17,11
2026-01-23 00:00:00+00:00,19,11,11,8
2026-01-24 00:00:00+00:00,27,21,7,6
2026-01-25 00:00:00+00:00,13,9,7,7
