time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-10 00:00:00+00:00,5,5,21,7
2024-02-11 00:00:00+00:00,5,4,22,8
2024-02-12 00:00:00+00:00,5,5,17,9
2024-02-13 00:00:00+00:00,6,4,40,9
2024-02-14 00:00:00+00:00,11,9,17,9
2024-02-15 00:00:00+00:00,2,2,12,9
2024-02-16 00:00:00+00:00,5,4,41,13
2024-02-17 00:00:00+00:00,2,2,11,6
2024-02-18 00:00:00+00:00,1,1,7,6
2024-02-19 00:00:00+00:00,6,5,66,14
2024-02-20 00:00:00+00:00,2,2,18,9
2024-02-21 00:00:00+00:00,5,5,19,10
2024-02-22 00:00:00+00:00,149,8,52,21
2024-02-23 00:00:00+00:00,95,5,22,8
