time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-05 00:00:00+00:00,8.0,5.0,19,9
2024-06-06 00:00:00+00:00,5.0,5.0,15,11
2024-06-07 00:00:00+00:00,7.0,7.0,21,15
2024-06-08 00:00:00+00:00,7.0,7.0,37,5
2024-06-09 00:00:00+00:00,4.0,4.0,6,5
2024-06-10 00:00:00+00:00,6.0,5.0,13,10
2024-06-11 00:00:00+00:00,6.0,5.0,46,7
2024-06-12 00:00:00+00:00,13.0,6.0,18,9
2024-06-13 00:00:00+00:00,5.0,5.0,18,6
2024-06-14 00:00:00+00:00,4.0,4.0,15,8
2024-06-15 00:00:00+00:00,4.0,3.0,18,6
2024-06-16 00:00:00+00:00,,,5,3
2024-06-17 00:00:00+00:00,5.0,5.0,10,9
2024-06-18 00:00:00+00:00,8.0,6.0,12,7
