referrer,views_total,views_unique
psc.edu,47,21
Google,24,14
meatwiki.nii.ac.jp,14,3
nvd.nist.gov,8,4
github.com,7,3
kagi.com,5,1
statics.teams.cdn.office.net,3,2
search.brave.com,1,1
DuckDuckGo,1,1
