referrer,views_total,views_unique
Google,50,31
psc.edu,44,28
github.com,11,7
colab.research.google.com,6,1
Bing,5,2
search.brave.com,5,1
news.ycombinator.com,4,2
DuckDuckGo,3,3
statics.teams.cdn.office.net,3,3
taisc.webfarm.ms.com,2,1
