time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-28 00:00:00+00:00,80,9,69.0,12.0
2024-03-29 00:00:00+00:00,7,4,43.0,9.0
2024-03-30 00:00:00+00:00,3,3,6.0,4.0
2024-03-31 00:00:00+00:00,5,2,3.0,3.0
2024-04-01 00:00:00+00:00,3,3,24.0,10.0
2024-04-02 00:00:00+00:00,8,7,33.0,12.0
2024-04-03 00:00:00+00:00,5,4,14.0,9.0
2024-04-04 00:00:00+00:00,10,3,20.0,9.0
2024-04-05 00:00:00+00:00,14,11,4.0,4.0
2024-04-06 00:00:00+00:00,5,5,19.0,5.0
2024-04-07 00:00:00+00:00,1,1,7.0,5.0
2024-04-08 00:00:00+00:00,3,3,15.0,8.0
2024-04-09 00:00:00+00:00,1,1,35.0,12.0
2024-04-10 00:00:00+00:00,255,5,49.0,14.0
2024-04-11 00:00:00+00:00,28,2,,
