time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-08 00:00:00+00:00,2,2,8,7
2025-01-09 00:00:00+00:00,2,1,13,8
2025-01-10 00:00:00+00:00,7,2,24,12
2025-01-11 00:00:00+00:00,3,2,13,5
2025-01-12 00:00:00+00:00,2,1,10,2
2025-01-13 00:00:00+00:00,2,2,27,14
2025-01-14 00:00:00+00:00,1,1,7,7
2025-01-15 00:00:00+00:00,4,3,36,18
2025-01-16 00:00:00+00:00,1,1,13,6
2025-01-17 00:00:00+00:00,2,2,19,7
2025-01-18 00:00:00+00:00,3,2,15,5
2025-01-19 00:00:00+00:00,1,1,7,4
2025-01-20 00:00:00+00:00,1,1,9,8
2025-01-21 00:00:00+00:00,1,1,10,9
