referrer,views_total,views_unique
Google,52,22
psc.edu,14,7
DuckDuckGo,8,4
github.com,5,3
Bing,4,1
news.ycombinator.com,2,2
lists.freebsd.org,1,1
partage.oca.eu,1,1
