time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-27 00:00:00+00:00,12,6,10,8
2024-05-28 00:00:00+00:00,7,7,24,8
2024-05-29 00:00:00+00:00,9,8,12,9
2024-05-30 00:00:00+00:00,7,7,48,11
2024-05-31 00:00:00+00:00,8,8,77,13
2024-06-01 00:00:00+00:00,9,6,15,4
2024-06-02 00:00:00+00:00,11,7,7,3
2024-06-03 00:00:00+00:00,11,8,25,10
2024-06-04 00:00:00+00:00,9,8,8,4
2024-06-05 00:00:00+00:00,8,5,19,9
2024-06-06 00:00:00+00:00,5,5,15,11
2024-06-07 00:00:00+00:00,7,7,21,15
2024-06-08 00:00:00+00:00,7,7,37,5
2024-06-09 00:00:00+00:00,3,3,6,5
