referrer,views_total,views_unique
Google,63,24
psc.edu,31,16
DuckDuckGo,9,2
Bing,5,4
github.com,4,2
Baidu,1,1
news.ycombinator.com,1,1
oss-fuzz.com,1,1
search.brave.com,1,1
