time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,72,28,13,11
2026-08-01 00:00:00+00:00,145,34,10,9
2026-08-02 00:00:00+00:00,128,29,9,8
2026-08-03 00:00:00+00:00,74,29,30,28
2026-08-04 00:00:00+00:00,70,28,21,16
2026-08-05 00:00:00+00:00,68,28,30,10
2026-08-06 00:00:00+00:00,85,27,43,20
2026-08-07 00:00:00+00:00,93,37,13,11
2026-08-08 00:00:00+00:00,84,28,8,7
2026-08-09 00:00:00+00:00,64,21,11,7
2026-08-10 00:00:00+00:00,76,25,17,12
2026-08-11 00:00:00+00:00,82,28,17,13
2026-08-12 00:00:00+00:00,78,27,22,12
2026-08-13 00:00:00+00:00,84,35,24,20
