time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-29 00:00:00+00:00,4.0,2.0,57,32
2024-07-30 00:00:00+00:00,1.0,1.0,48,28
2024-07-31 00:00:00+00:00,3.0,2.0,55,24
2024-08-01 00:00:00+00:00,5.0,2.0,42,28
2024-08-02 00:00:00+00:00,4.0,3.0,50,33
2024-08-03 00:00:00+00:00,1.0,1.0,21,15
2024-08-04 00:00:00+00:00,15.0,2.0,15,13
2024-08-05 00:00:00+00:00,2.0,2.0,48,31
2024-08-06 00:00:00+00:00,2.0,2.0,44,33
2024-08-07 00:00:00+00:00,5.0,3.0,58,23
2024-08-08 00:00:00+00:00,163.0,2.0,25,12
2024-08-09 00:00:00+00:00,220.0,5.0,46,15
2024-08-10 00:00:00+00:00,1.0,1.0,33,8
2024-08-11 00:00:00+00:00,,,8,6
