referrer,views_total,views_unique
Google,45,28
psc.edu,25,19
github.com,14,6
DuckDuckGo,6,4
colab.research.google.com,6,1
search.brave.com,5,1
news.ycombinator.com,3,3
Bing,1,1
nvd.nist.gov,1,1
statics.teams.cdn.office.net,1,1
