time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,83,44,65,62
2026-06-28 00:00:00+00:00,90,49,10,9
2026-06-29 00:00:00+00:00,83,42,31,12
2026-06-30 00:00:00+00:00,57,40,20,20
2026-07-01 00:00:00+00:00,211,38,23,21
2026-07-02 00:00:00+00:00,51,34,17,17
2026-07-03 00:00:00+00:00,62,40,12,10
2026-07-04 00:00:00+00:00,123,42,8,7
2026-07-05 00:00:00+00:00,105,53,9,7
2026-07-06 00:00:00+00:00,251,54,18,8
2026-07-07 00:00:00+00:00,412,53,24,13
2026-07-08 00:00:00+00:00,462,42,9,9
2026-07-09 00:00:00+00:00,120,49,15,12
2026-07-10 00:00:00+00:00,109,50,26,15
