referrer,views_total,views_unique
psc.edu,76,34
Google,55,15
meatwiki.nii.ac.jp,17,3
nvd.nist.gov,9,7
github.com,3,3
statics.teams.cdn.office.net,3,2
cve.org,2,2
mend.io,1,1
