referrer,views_total,views_unique
Google,49,22
DuckDuckGo,20,3
psc.edu,17,13
github.com,16,6
news.ycombinator.com,3,3
Bing,2,2
lwn.net,2,2
statics.teams.cdn.office.net,2,1
ti.qianxin.com,2,1
nvd.nist.gov,1,1
