referrer,views_total,views_unique
Google,60,31
psc.edu,46,27
cn.bing.com,31,4
news.ycombinator.com,9,6
Bing,7,3
github.com,4,3
meatwiki.nii.ac.jp,4,1
l.workplace.com,3,1
yandex.ru,2,1
cve.org,1,1
