time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,364,50,32,13
2026-04-03 00:00:00+00:00,112,28,11,7
2026-04-04 00:00:00+00:00,39,29,5,4
2026-04-05 00:00:00+00:00,29,24,24,10
2026-04-06 00:00:00+00:00,97,37,22,6
2026-04-07 00:00:00+00:00,97,62,27,11
2026-04-08 00:00:00+00:00,404,58,28,10
2026-04-09 00:00:00+00:00,62,34,30,14
2026-04-10 00:00:00+00:00,61,46,31,16
2026-04-11 00:00:00+00:00,46,33,7,3
2026-04-12 00:00:00+00:00,37,26,14,8
2026-04-13 00:00:00+00:00,121,38,24,8
2026-04-14 00:00:00+00:00,54,30,20,7
2026-04-15 00:00:00+00:00,67,29,28,11
