referrer,views_total,views_unique
psc.edu,64,30
Google,60,33
github.com,18,11
DuckDuckGo,5,5
Bing,5,2
news.ycombinator.com,5,2
perplexity.ai,4,1
statics.teams.cdn.office.net,3,3
taisc.webfarm.ms.com,2,1
ecosia.org,1,1
