time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,82,28,17,13
2026-08-12 00:00:00+00:00,78,27,22,12
2026-08-13 00:00:00+00:00,84,35,24,20
2026-08-14 00:00:00+00:00,69,26,18,13
2026-08-15 00:00:00+00:00,80,27,6,5
2026-08-16 00:00:00+00:00,81,36,7,6
2026-08-17 00:00:00+00:00,235,49,55,21
2026-08-18 00:00:00+00:00,71,24,26,21
2026-08-19 00:00:00+00:00,78,27,11,9
2026-08-20 00:00:00+00:00,126,29,16,11
2026-08-21 00:00:00+00:00,79,25,18,14
2026-08-22 00:00:00+00:00,75,30,4,4
2026-08-23 00:00:00+00:00,64,20,7,7
2026-08-24 00:00:00+00:00,97,30,12,11
