referrer,views_total,views_unique
Google,36,27
github.com,9,4
psc.edu,8,5
DuckDuckGo,6,3
Bing,3,2
news.ycombinator.com,3,2
solaris4you.dk,3,1
m.sogou.com,2,1
chatgpt.com,1,1
