referrer,views_total,views_unique
Google,100,40
psc.edu,68,30
Bing,19,1
meatwiki.nii.ac.jp,18,2
github.com,12,6
news.ycombinator.com,3,2
perplexity.ai,3,1
cve.mitre.org,2,2
solaris4you.dk,2,1
jvndb.jvn.jp,1,1
