time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-12 00:00:00+00:00,145,12,33,17
2024-03-13 00:00:00+00:00,76,5,27,14
2024-03-14 00:00:00+00:00,142,7,32,11
2024-03-15 00:00:00+00:00,85,3,26,16
2024-03-16 00:00:00+00:00,1,1,13,7
2024-03-17 00:00:00+00:00,3,3,4,3
2024-03-18 00:00:00+00:00,4,4,30,8
2024-03-19 00:00:00+00:00,6,4,41,15
2024-03-20 00:00:00+00:00,11,6,32,16
2024-03-21 00:00:00+00:00,31,14,39,19
2024-03-22 00:00:00+00:00,8,8,61,12
2024-03-23 00:00:00+00:00,4,4,13,5
2024-03-24 00:00:00+00:00,3,3,6,4
2024-03-25 00:00:00+00:00,3,2,31,15
