time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-15 00:00:00+00:00,17,11,32,21
2024-05-16 00:00:00+00:00,8,8,37,21
2024-05-17 00:00:00+00:00,8,5,24,16
2024-05-18 00:00:00+00:00,6,6,4,3
2024-05-19 00:00:00+00:00,6,6,6,5
2024-05-20 00:00:00+00:00,9,6,34,9
2024-05-21 00:00:00+00:00,8,7,27,11
2024-05-22 00:00:00+00:00,12,9,33,13
2024-05-23 00:00:00+00:00,17,12,61,13
2024-05-24 00:00:00+00:00,21,7,29,14
2024-05-25 00:00:00+00:00,11,8,12,4
2024-05-26 00:00:00+00:00,11,7,7,4
2024-05-27 00:00:00+00:00,12,6,10,8
2024-05-28 00:00:00+00:00,5,5,24,8
