time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-12 00:00:00+00:00,9.0,6.0,14,5
2024-09-13 00:00:00+00:00,175.0,8.0,41,18
2024-09-14 00:00:00+00:00,2.0,2.0,12,9
2024-09-15 00:00:00+00:00,,,25,11
2024-09-16 00:00:00+00:00,3.0,2.0,22,10
2024-09-17 00:00:00+00:00,4.0,1.0,59,10
2024-09-18 00:00:00+00:00,6.0,4.0,53,11
2024-09-19 00:00:00+00:00,254.0,7.0,89,13
2024-09-20 00:00:00+00:00,150.0,6.0,68,17
2024-09-21 00:00:00+00:00,2.0,2.0,31,9
2024-09-22 00:00:00+00:00,2.0,1.0,22,8
2024-09-23 00:00:00+00:00,2.0,1.0,37,15
2024-09-24 00:00:00+00:00,1.0,1.0,41,11
2024-09-25 00:00:00+00:00,3.0,3.0,23,11
