referrer,views_total,views_unique
psc.edu,97,22
Google,81,46
meatwiki.nii.ac.jp,15,3
github.com,6,5
Bing,6,1
DuckDuckGo,5,3
news.ycombinator.com,4,3
translated.turbopages.org,1,1
