time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-31 00:00:00+00:00,5,2,3,3
2024-04-01 00:00:00+00:00,3,3,24,10
2024-04-02 00:00:00+00:00,8,7,33,12
2024-04-03 00:00:00+00:00,5,4,14,9
2024-04-04 00:00:00+00:00,10,3,20,9
2024-04-05 00:00:00+00:00,14,11,4,4
2024-04-06 00:00:00+00:00,5,5,19,5
2024-04-07 00:00:00+00:00,1,1,7,5
2024-04-08 00:00:00+00:00,3,3,15,8
2024-04-09 00:00:00+00:00,1,1,35,12
2024-04-10 00:00:00+00:00,255,5,49,14
2024-04-11 00:00:00+00:00,124,9,26,13
2024-04-12 00:00:00+00:00,20,10,19,9
2024-04-13 00:00:00+00:00,1,1,18,4
