time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,22,10,25,11
2025-06-11 00:00:00+00:00,21,11,30,18
2025-06-12 00:00:00+00:00,18,12,22,14
2025-06-13 00:00:00+00:00,18,12,15,12
2025-06-14 00:00:00+00:00,23,14,1,1
2025-06-15 00:00:00+00:00,24,11,21,10
2025-06-16 00:00:00+00:00,19,13,28,11
2025-06-17 00:00:00+00:00,16,10,10,7
2025-06-18 00:00:00+00:00,24,16,21,15
2025-06-19 00:00:00+00:00,17,11,15,10
2025-06-20 00:00:00+00:00,20,14,6,6
2025-06-21 00:00:00+00:00,14,8,4,2
2025-06-22 00:00:00+00:00,13,7,4,3
2025-06-23 00:00:00+00:00,6,6,20,5
