time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-07 00:00:00+00:00,17,11,10,8
2025-11-08 00:00:00+00:00,10,8,16,11
2025-11-09 00:00:00+00:00,18,12,14,12
2025-11-10 00:00:00+00:00,24,17,21,17
2025-11-11 00:00:00+00:00,26,13,43,17
2025-11-12 00:00:00+00:00,17,15,16,15
2025-11-13 00:00:00+00:00,37,16,23,9
2025-11-14 00:00:00+00:00,112,18,19,10
2025-11-15 00:00:00+00:00,18,15,9,6
2025-11-16 00:00:00+00:00,12,12,20,7
2025-11-17 00:00:00+00:00,10,10,26,12
2025-11-18 00:00:00+00:00,14,13,29,9
2025-11-19 00:00:00+00:00,11,10,18,10
2025-11-20 00:00:00+00:00,8,7,14,9
